time,sds.I[1]_blanket.TBR=1.050,sds.I[1]_blanket.TBR=1.060,sds.I[1]_blanket.TBR=1.070,sds.I[1]_blanket.TBR=1.080,sds.I[1]_blanket.TBR=1.090,sds.I[1]_blanket.TBR=1.100,sds.I[1]_blanket.TBR=1.110,sds.I[1]_blanket.TBR=1.120,sds.I[1]_blanket.TBR=1.130,sds.I[1]_blanket.TBR=1.140,sds.I[1]_blanket.TBR=1.150,sds.I[1]_blanket.TBR=1.160,sds.I[1]_blanket.TBR=1.170,sds.I[1]_blanket.TBR=1.180,sds.I[1]_blanket.TBR=1.190,sds.I[1]_blanket.TBR=1.200,sds.I[1]_blanket.TBR=1.210,sds.I[1]_blanket.TBR=1.220,sds.I[1]_blanket.TBR=1.230,sds.I[1]_blanket.TBR=1.240,sds.I[1]_blanket.TBR=1.250
834.0,2393.174729029958,2467.615362905254,2542.055996775799,2616.49663064596,2690.937264511177,2765.377898376256,2839.818532238347,2914.259166095913,2988.699799948464,3063.140433801242,3137.581067652613,3212.021701496931,3286.462335096738,3360.902969181081,3435.343603020992,3509.784236606145,3584.224870436966,3658.665504516615,3733.106138341204,3807.546772167079,3881.987405988474
835.0,2393.430811123714,2467.9662726945,2542.501734260559,2617.037195826229,2691.572657386977,2766.10811894758,2840.643580505207,2915.179042058322,2989.714503606443,3064.249965154776,3138.785426701702,3213.320888241602,3287.856349536346,3362.391811316911,3436.927272852397,3511.462734132507,3585.998195658922,3660.533657434798,3735.069118955008,3809.604580476476,3884.140041993476
836.0,2393.686942434518,2468.317231397174,2542.947520355126,2617.577809312681,2692.208098265336,2766.838387217835,2841.468676167368,2916.098965112405,2990.729254052469,3065.359542992725,3139.989831931572,3214.620120863425,3289.250409549744,3363.880698722625,3438.510987650048,3513.14127632176,3587.771565240134,3662.401854408322,3737.03214332052,3811.662432233944,3886.292721142914
837.0,2393.943122940299,2468.668238991077,2543.393355037177,2618.118471082863,2692.843587123677,2767.568703164315,2842.293819201997,2917.018935235201,2991.744051263453,3066.469167291872,3141.194283318878,3215.919399338926,3290.64451511334,3365.369631374495,3440.094747390092,3514.819863149928,3589.544979156501,3664.270095412949,3738.995211413375,3813.720327414988,3888.445443412163
838.0,2394.199352618989,2469.019295454015,2543.839238284387,2618.659181114327,2693.479123939419,2768.299066764313,2843.119009586262,2917.938952403748,2992.758895216306,3067.578838029002,3142.398780840277,3217.218723644634,3292.03866620354,3366.858609248794,3441.678552048672,3516.498494593036,3591.318437383918,3666.138380424439,3740.958323209205,3815.778265995114,3890.5982087766
839.0,2394.455631448521,2469.37040076379,2544.285170074433,2619.199939384619,2694.114708689984,2769.029477995125,2843.944247297327,2918.859016595085,2993.773785887941,3068.688555180897,3143.603324472424,3218.518093757077,3293.432862796754,3368.347632321794,3443.262401601933,3518.177170627111,3593.091939898284,3668.006709418554,3742.921478683646,3817.836247949826,3892.751017211604
840.0,2394.711959406824,2469.721554898207,2544.731150384993,2619.740745871288,2694.750341352795,2769.759936834043,2844.769532312359,2919.779127786249,2994.788723255267,3069.798318724341,3144.807914191973,3219.817509652783,3294.827104869391,3369.836700569768,3444.846296026019,3519.855891228176,3594.865486675496,3669.875082371055,3744.884677812327,3819.894273254631,3894.903868692552
841.0,2394.968336471829,2470.07275783507,2545.177179193741,2620.281600551886,2695.386021905272,2770.490443258362,2845.594864608524,2920.699285954282,2995.803707295195,3070.908128636117,3146.012549975582,3221.116971308279,3296.221392397857,3371.325813968988,3446.430235297074,3521.534656372255,3596.63907769145,3671.743499257701,3746.847920570885,3821.952341885032,3897.056763194821
842.0,2395.224762621469,2470.424009552181,2545.623256478355,2620.822503403959,2696.021750324837,2771.220997245374,2846.420244162989,2921.619491076219,2996.818737984638,3072.017984893009,3147.217231799906,3222.416478700093,3297.615725358563,3372.814972495726,3448.014219391243,3523.213466035376,3598.412712922045,3673.611960054255,3748.81120693495,3824.010453816536,3899.209700693788
843.0,2395.481237833674,2470.775310027345,2546.06938221651,2621.363454405057,2696.657526588912,2771.951598772375,2847.24567095292,2922.539743129101,2997.833815300505,3073.127887471799,3148.421959641598,3223.716031804753,3299.010103727915,3374.304176126253,3449.59824828467,3524.892320193562,3600.186392343176,3675.480464736477,3750.774536880158,3826.068609024647,3901.362681164831
844.0,2395.737762086374,2471.126659238367,2546.515556385884,2621.904453532729,2697.293350674918,2772.682247816658,2848.071144955482,2923.460042089965,2998.848939219708,3074.237836349271,3149.626733477317,3225.015630598788,3300.404527482322,3375.793424836843,3451.182321953501,3526.571218822838,3601.960115930741,3677.349013280128,3752.73791038214,3828.126807484872,3903.515704583327
845.0,2395.994335357503,2471.478057163048,2546.961778964152,2622.445500764523,2697.929222560275,2773.412944355516,2848.896666147842,2924.380387935852,2999.864109719157,3075.347831502208,3150.831553283715,3226.315275058723,3301.798996598192,3377.282718603769,3452.766440373878,3528.250161899229,3603.733883660638,3679.217605660969,3754.70132741653,3830.185049172715,3905.668770924653
846.0,2396.250957624989,2471.829503779194,2547.408049928993,2622.986596077989,2698.565142222407,2774.143688366244,2849.722234507167,2925.300780643798,3000.879326775764,3076.457872907394,3152.03641903745,3227.614965161089,3303.193511051933,3378.772057403301,3454.350603521947,3529.929149398761,3605.507695508763,3681.086241854761,3756.664787958961,3832.24333406368,3907.821880164187
