"time","div.outflow[1]","div.outflow[2]","div.outflow[3]","div.outflow[4]","div.outflow[5]","div.to_CL[1]","div.to_CL[2]","div.to_CL[3]","div.to_CL[4]","div.to_CL[5]"
86.55,0.2285254155713461,0.07906998455161444,-0.0004194944828644558,4.786861075171511,-0.001231362167993921,0.2285254155713461,0.07906998455161444,-0.0004194944828644558,4.786861075171511,-0.001231362167993921
86.59999999999999,0.2286602768523622,0.07910280940391703,-0.0004199707022250523,4.788866606900431,-0.001232178583214281,0.2286602768523622,0.07910280940391703,-0.0004199707022250523,4.788866606900431,-0.001232178583214281
86.65000000000001,0.2287951425036074,0.07913563486815585,-0.0004204456101402311,4.790872098217576,-0.001232993679913445,0.2287951425036074,0.07913563486815585,-0.0004204456101402311,4.790872098217576,-0.001232993679913445
86.7,0.2289300125114729,0.0791684609305449,-0.0004209192204102315,4.792877549110012,-0.0012338074718918,0.2289300125114729,0.0791684609305449,-0.0004209192204102315,4.792877549110012,-0.0012338074718918
86.75,0.2290648868623666,0.07920128757668822,-0.0004213915474452747,4.794882959564196,-0.001234619973559713,0.2290648868623666,0.07920128757668822,-0.0004213915474452747,4.794882959564196,-0.001234619973559713
86.8,0.2291997655427138,0.07923411479156829,-0.0004218626062771928,4.796888329565966,-0.001235431199949166,0.2291997655427138,0.07923411479156829,-0.0004218626062771928,4.796888329565966,-0.001235431199949166
86.84999999999999,0.2293346485389561,0.0792669425595343,-0.0004223324125710586,4.798893659100525,-0.001236241166725376,0.2293346485389561,0.0792669425595343,-0.0004223324125710586,4.798893659100525,-0.001236241166725376
86.90000000000001,0.2294695358375517,0.07929977086429059,-0.0004228009826368162,4.800898948152427,-0.001237049890198436,0.2294695358375517,0.07929977086429059,-0.0004228009826368162,4.800898948152427,-0.001237049890198436
86.95,0.229604427424975,0.07933259968888492,-0.0004232683334409098,4.802904196705578,-0.001237857387334936,0.229604427424975,0.07933259968888492,-0.0004232683334409098,4.802904196705578,-0.001237857387334936
87,0.2297393232877168,0.07936542901569706,-0.0004237344826179148,4.804909404743209,-0.001238663675769601,0.2297393232877168,0.07936542901569706,-0.0004237344826179148,4.804909404743209,-0.001238663675769601
